Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3265814691731415
75% Corpus,7,0.9099999999999999,symmetric,0.3511666908108757
75% Corpus,7,symmetric,0.01,0.3590764625576406
75% Corpus,7,symmetric,0.31,0.3756313907405526
75% Corpus,7,symmetric,0.61,0.3941034257971291
75% Corpus,7,symmetric,0.9099999999999999,0.40483275467025687
75% Corpus,7,symmetric,symmetric,0.3722082243033528
75% Corpus,7,asymmetric,0.01,0.34811361361632426
75% Corpus,7,asymmetric,0.31,0.41611775897848463
75% Corpus,7,asymmetric,0.61,0.4445952939832735
75% Corpus,7,asymmetric,0.9099999999999999,0.3609020057343873
75% Corpus,7,asymmetric,symmetric,0.3576786684773556
75% Corpus,8,0.01,0.01,0.3435290413059121
75% Corpus,8,0.01,0.31,0.36134479963166477
75% Corpus,8,0.01,0.61,0.40324700582809325
75% Corpus,8,0.01,0.9099999999999999,0.42471076152822534
75% Corpus,8,0.01,symmetric,0.3549076111842147
75% Corpus,8,0.31,0.01,0.36320213311519267
75% Corpus,8,0.31,0.31,0.395399269902
75% Corpus,8,0.31,0.61,0.39402454371140777
75% Corpus,8,0.31,0.9099999999999999,0.4129008459850258
75% Corpus,8,0.31,symmetric,0.3788551041545563
75% Corpus,8,0.61,0.01,0.3516376663172861
75% Corpus,8,0.61,0.31,0.39478622141326203
75% Corpus,8,0.61,0.61,0.38620697827176675
75% Corpus,8,0.61,0.9099999999999999,0.4117206822677729
75% Corpus,8,0.61,symmetric,0.3710217050279436
75% Corpus,8,0.9099999999999999,0.01,0.3667522780845746
75% Corpus,8,0.9099999999999999,0.31,0.3858726248023101
75% Corpus,8,0.9099999999999999,0.61,0.35151642419240936
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3686653178365089
75% Corpus,8,0.9099999999999999,symmetric,0.3726547095131649
75% Corpus,8,symmetric,0.01,0.36204605879155916
75% Corpus,8,symmetric,0.31,0.35366069668186395
75% Corpus,8,symmetric,0.61,0.3917721673568153
75% Corpus,8,symmetric,0.9099999999999999,0.4211553474150194
75% Corpus,8,symmetric,symmetric,0.3618898527764052
75% Corpus,8,asymmetric,0.01,0.38533932034173934
75% Corpus,8,asymmetric,0.31,0.3733118220274485
75% Corpus,8,asymmetric,0.61,0.4523588635693216
75% Corpus,8,asymmetric,0.9099999999999999,0.40231881547528847
75% Corpus,8,asymmetric,symmetric,0.3591082766014351
75% Corpus,9,0.01,0.01,0.3530601123309667
75% Corpus,9,0.01,0.31,0.3781491815293106
75% Corpus,9,0.01,0.61,0.3704574201896233
75% Corpus,9,0.01,0.9099999999999999,0.41605836869814306
75% Corpus,9,0.01,symmetric,0.3703758731450245
75% Corpus,9,0.31,0.01,0.3637659606089223
75% Corpus,9,0.31,0.31,0.3894709127378519
75% Corpus,9,0.31,0.61,0.40205401982269146
75% Corpus,9,0.31,0.9099999999999999,0.45003385281842195
75% Corpus,9,0.31,symmetric,0.3704626075091864
75% Corpus,9,0.61,0.01,0.3693839983240069
75% Corpus,9,0.61,0.31,0.3783097021893764
75% Corpus,9,0.61,0.61,0.38923335193585684
75% Corpus,9,0.61,0.9099999999999999,0.39789358222661747
75% Corpus,9,0.61,symmetric,0.36462701809576287
75% Corpus,9,0.9099999999999999,0.01,0.3690779310614965
75% Corpus,9,0.9099999999999999,0.31,0.35974887284747065
75% Corpus,9,0.9099999999999999,0.61,0.3420263053493569
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3623910339630483
75% Corpus,9,0.9099999999999999,symmetric,0.3618236363256501
75% Corpus,9,symmetric,0.01,0.36281397284514844
75% Corpus,9,symmetric,0.31,0.3825492655040763
75% Corpus,9,symmetric,0.61,0.39557218793545035
75% Corpus,9,symmetric,0.9099999999999999,0.42539525256587923
75% Corpus,9,symmetric,symmetric,0.3811430310101748
75% Corpus,9,asymmetric,0.01,0.35002349165535346
75% Corpus,9,asymmetric,0.31,0.3520018127500658
75% Corpus,9,asymmetric,0.61,0.38269663423743333
75% Corpus,9,asymmetric,0.9099999999999999,0.4141134202359419
75% Corpus,9,asymmetric,symmetric,0.3812790573504492
75% Corpus,10,0.01,0.01,0.346246535110886
75% Corpus,10,0.01,0.31,0.3697494309501258
75% Corpus,10,0.01,0.61,0.3815134681840159
75% Corpus,10,0.01,0.9099999999999999,0.4074716354896795
75% Corpus,10,0.01,symmetric,0.35621119903098497
75% Corpus,10,0.31,0.01,0.3673752109309895
75% Corpus,10,0.31,0.31,0.39664837587709706
75% Corpus,10,0.31,0.61,0.4161827564856434
75% Corpus,10,0.31,0.9099999999999999,0.4216708492552358
75% Corpus,10,0.31,symmetric,0.37853015019155645
75% Corpus,10,0.61,0.01,0.35737530430529346
75% Corpus,10,0.61,0.31,0.3995061522567001
75% Corpus,10,0.61,0.61,0.4145175425630578
75% Corpus,10,0.61,0.9099999999999999,0.41185320106421053
75% Corpus,10,0.61,symmetric,0.36781813964489296
75% Corpus,10,0.9099999999999999,0.01,0.3632506201049866
75% Corpus,10,0.9099999999999999,0.31,0.36816213922529534
75% Corpus,10,0.9099999999999999,0.61,0.3813843080599497
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.36013013672198874
75% Corpus,10,0.9099999999999999,symmetric,0.36596127479235857
75% Corpus,10,symmetric,0.01,0.3652109676216463
75% Corpus,10,symmetric,0.31,0.36252854010317326
